Rank;Name;Computer;Site;Country;Year;Segment;Total Cores;Power (kW);Cores per Socket;Continent;Site ID;System ID;Power per Socket (kW)
211;Snellius Phase 1 GPU;ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;SURF;Netherlands;2022;Research;12960;205.35;36;Europe;50,900;180033;0.5704166666666667
212;Niagara;ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100;SciNet/University of Toronto/Compute Canada;Canada;2017;Research;80640;919.42;20;North America;50,206;179408;0.22803075396825395
213;Fritz;Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100;Universitaet Erlangen - Regionales Rechenzentrum Erlangen;Germany;2021;Academic;71424;671.97;36;Europe;49,515;180074;0.33869455645161295
216;Anvil;PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100;Purdue University;United States;2022;Academic;127488;792;64;North America;48,657;180085;0.39759036144578314
221;Altair;CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR;PCSS Poznan;Poland;2020;Academic;63360;829;24;Europe;50,183;179903;0.31401515151515147
222;Forerunner 1;ASUS RS723Q-E11-RS24, Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200;National Center for High Performance Computing;Taiwan;2023;Research;62496;614.87;56;Asia;50,977;180235;0.5509587813620072
226;Pegasus;NEC LX 102Bk-6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR 200;Center for Computational Sciences, University of Tsukuba;Japan;2023;Academic;21600;67.87;48;Asia;47,529;180170;0.15082222222222222
231;Cedar (GPU);PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path;Simon Fraser University/Compute Canada;Canada;2020;Academic;67584;310;16;North America;50,722;179859;0.07339015151515152
236;Topaz;SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR;ERDC DSRC;United States;2015;Research;124200;5175;18;North America;47,771;178523;0.75
239;Damson;Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR;AWE;United Kingdom;2017;Research;113832;1134;18;Europe;47,363;179409;0.1793168880455408
240;LLNL/NNSA CTS-1 MAGMA;Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;United States;2019;Research;62400;887;48;North America;48,247;179774;0.6823076923076923
253;Lichtenberg II (Phase 1);MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100;Technische Universitaet Darmstadt;Germany;2020;Academic;59136;690;48;Europe;49,078;179857;0.560064935064935
266;Komondor;HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11;Governmental Information-Technology Development Agency (KIFÜ);Hungary;2022;Academic;27776;110.24;64;Europe;50,927;180079;0.25400921658986175
